=== TABLE 4: KIEM THU SIT (96 rows) ===
R0: TT | Công việc | Ngày công | Đơn giá (VNĐ) | Thành tiền (VNĐ) | Ghi chú
R1: 1 | Màn hình đăng tải video |  |  |  | 
R2:  | Web- Sửa màn hình danh sách kèm điều kiện lọc (thêm trư |  |  |  | 
R3:  | Web- Sửa màn hình thêm mới/chỉnh sửa video (thêm trường |  |  |  | 
R4:  | Web- Sửa màn hình xem chi tiết video xe (thêm trường th |  |  |  | 
R5:  | BE- Sửa API lưu và đẩy duyệt (thêm trường thông tin vid |  |  |  | 
R6:  | BE- Sửa API danh sách video (thêm trường thông tin vide |  |  |  | 
R7:  | BE- Sửa API xem chi tiết (thêm trường thông tin video ô |  |  |  | 
R8: 2 | Màn hình quản lý tài khoản |  |  |  | 
R9:  | BE - API export danh sách tài khoản |  |  |  | 
R10: 3 | Màn hình chính sách hoa hồng |  |  |  | 
R11:  | Web- Màn hình danh sách chính sách hoa hồng (kèm tìm ki |  |  |  | 
R12:  | Web- Màn hình xem chi tiết chính sách hoa hồng |  |  |  | 
R13:  | Web- Màn hình thêm mới chính sách hoa hồng (Tích hợp nh |  |  |  | 
R14:  | Web- Chỉnh sửa chính sách hoa hồng |  |  |  | 
R15:  | Web- Đẩy duyệt/ phê duyệt/ từ chối/ xóa/ đổi trạng thái |  |  |  | 
R16:  | BE- API danh sách chính sách hoa hồng |  |  |  | 
R17:  | BE- API chi tiết chính sách hoa hồng |  |  |  | 
R18:  | BE- API lấy danh sách showroom (chọn dropdownlist) |  |  |  | 
R19:  | BE- API thêm mới chính sách hoa hồng |  |  |  | 
R20:  | BE- API chỉnh sửa chính sách hoa hồng |  |  |  | 
R21:  | BE- API đẩy duyệt/ phê duyệt/ từ chối chính sách hoa hồ |  |  |  | 
R22:  | BE- API thay đổi trạng thái (active, inactive) chính sá |  |  |  | 
R23:  | BE- API xóa chính sách hoa hồng |  |  |  | 
R24: 4 | Màn hình quản lý Cộng tác viên |  |  |  | 
R25:  | Web- Màn hình danh sách cộng tác viên (kèm điều kiện lọ |  |  |  | 
R26:  | Web- Màn hình xem chi tiết cộng tác viên |  |  |  | 
R27:  | Web- Màn hình thêm mới cộng tác viên |  |  |  | 
R28:  | Web- Chức năng upload file (import theo lô) |  |  |  | 
R29:  | Web- Chỉnh sửa thông tin cộng tác viên |  |  |  | 
R30:  | Web- Phê duyệt/từ chối/xóa yêu cầu |  |  |  | 
R31:  | BE- API danh sách cộng tác viên |  |  |  | 
R32:  | BE- API phê duyệt/ từ chối duyệt |  |  |  | 
R33:  | BE- API  thêm mới thông tin cộng tác viên |  |  |  | 
R34:  | BE - API sửa thông tin cộng tác viên |  |  |  | 
R35:  | BE - API xóa thông tin cộng tác viên |  |  |  | 
R36:  | BE - API xem chi tiết thông tin cộng tác viên |  |  |  | 
R37:  | BE- API upload file và validate thông tin cộng tác viên |  |  |  | 
R38: 5 | Màn hình quản lý sản phẩm vay |  |  |  | 
R39:  | Web- Màn hình danh sách sản phẩm vay (kèm điều kiện lọc |  |  |  | 
R40:  | Web- Màn hình xem chi tiết sản phẩm vay |  |  |  | 
R41:  | Web- Màn hình thêm mới sản phẩm vay |  |  |  | 
R42:  | Web- Chỉnh sửa thông tin sản phẩm vay |  |  |  | 
R43:  | Web- Phê duyệt/từ chối/xóa yêu cầu |  |  |  | 
